Date,Ticker,Volume,Avg_Volume,Volume_Status
2010-01-14,MA,19419000,11312300,Spike
2010-01-20,AXP,16974300,10233330,Spike
2010-01-20,V,28140800,18232707,Spike
2010-01-21,AXP,26170800,11371721,Spike
2010-01-21,V,29776400,19057257,Spike
2010-02-02,V,32197600,18239880,Spike
2010-02-03,MA,108380000,17232200,Spike
2010-02-03,V,66486800,20751520,Spike
2010-02-04,MA,58136000,19575350,Spike
2010-02-04,V,38687200,21293820,Spike
2010-03-04,MA,32910000,19037500,Spike
2010-03-07,MA,29561000,17608750,Spike
2010-03-07,V,31258400,16779660,Spike
2010-03-08,V,36690800,17415860,Spike
2010-03-09,V,28438800,17939400,Spike
2010-03-10,V,55125200,19967020,Spike
2010-04-13,AXP,14091700,8284220,Spike
2010-04-15,AXP,18333300,8954025,Spike
2010-04-22,AXP,17470200,9551400,Spike
2010-04-27,MA,17995000,9064900,Spike
2010-04-28,MA,14089000,9302700,Spike
2010-04-28,V,29408000,15268440,Spike
2010-04-29,MA,16675000,9577050,Spike
2010-04-29,V,25059600,15648200,Spike
2010-05-02,MA,16928000,10050600,Spike
2010-05-02,V,31020000,16431040,Spike
2010-05-03,MA,29370000,10819500,Spike
2010-05-03,V,30622800,17271500,Spike
2010-05-04,MA,25627000,11709300,Spike
2010-05-04,V,37174400,18392700,Spike
2010-05-05,AXP,22510800,11914730,Spike
2010-05-05,MA,34273000,13102850,Spike
2010-05-05,V,63938000,21051100,Spike
2010-05-06,AXP,30788700,13123455,Spike
2010-05-06,MA,29304000,14319750,Spike
2010-05-06,V,45519200,22848700,Spike
2010-05-09,MA,29826000,15484200,Spike
2010-05-10,MA,29271000,16591200,Spike
2010-05-10,V,47244000,25928280,Spike
2010-05-11,MA,29123000,17464300,Spike
2010-05-13,AXP,27485400,13915465,Spike
2010-05-13,MA,101983000,22777050,Spike
2010-05-13,V,169829200,35031360,Spike
2010-05-16,V,90552000,38929640,Spike
2010-05-17,MA,70828000,27178650,Spike
2010-05-17,V,189331200,47941680,Spike
2010-05-18,MA,91584000,31506100,Spike
2010-05-18,V,131631200,53954960,Spike
2010-05-19,MA,51156000,33632000,Spike
2010-05-19,V,101612800,58302680,Spike
2010-06-20,MA,53737000,24592000,Spike
2010-06-20,V,115862800,38772440,Spike
2010-06-24,AXP,23429700,11522620,Spike
2010-07-15,MA,28878000,16844400,Spike
2010-07-28,V,58866800,22050240,Spike
2010-08-01,MA,29181000,13458050,Spike
2010-08-01,V,53846800,23823760,Spike
2010-08-02,MA,31650000,14223250,Spike
2010-08-03,AXP,15944000,9529720,Spike
2010-08-30,MA,18184000,11407650,Spike
2010-09-01,AXP,11712500,7756360,Spike
2010-09-07,MA,21383000,9875500,Spike
